               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12501,            0.069176,            0.034691,            0.001741,            0.087974,            0.001502,          0.00037398,            0.095043,            0.026341,            0.021685,            0.070189,           0.0033124,           0.0033124
                   1,            0.099833,            0.051351,            0.022388,             0.69207,            0.076503,            0.015085,           0.0039151,            0.083268,            0.029095,             0.01819,            0.040167,           0.0066238,           0.0066238
                   2,            0.094791,            0.050927,            0.020779,             0.70015,            0.033698,            0.013606,           0.0047446,            0.079786,            0.026552,            0.019168,            0.010123,           0.0099132,           0.0099132
                   3,            0.083097,            0.051049,            0.018897,             0.35134,             0.09745,            0.013173,           0.0036518,            0.070521,            0.031069,            0.019374,            0.009901,            0.009901,            0.009901
                   4,            0.078342,            0.052978,            0.017427,            0.067169,             0.27875,            0.045423,            0.012796,            0.063219,            0.033349,            0.017673,            0.009901,            0.009901,            0.009901
                   5,            0.071711,            0.060719,            0.015529,             0.12359,             0.24549,            0.069812,            0.021082,            0.058334,            0.033837,            0.013364,            0.009868,            0.009868,            0.009868
                   6,            0.065889,            0.057684,            0.012394,             0.12649,             0.31233,            0.078995,             0.03086,             0.05376,            0.034583,            0.010732,            0.009835,            0.009835,            0.009835
                   7,            0.062001,            0.059132,            0.011017,             0.13794,             0.35024,             0.10433,            0.030325,            0.053439,            0.038201,            0.010279,            0.009802,            0.009802,            0.009802
                   8,            0.062866,             0.05706,            0.010776,             0.15576,             0.39079,             0.11891,             0.03573,              0.0503,            0.035919,           0.0086787,            0.009769,            0.009769,            0.009769
                   9,            0.059115,             0.06015,           0.0093988,             0.17976,             0.41608,               0.145,            0.056028,            0.045621,            0.037527,           0.0087261,            0.009736,            0.009736,            0.009736
                  10,            0.055494,            0.058814,           0.0094137,             0.17927,             0.45627,             0.15901,            0.066791,            0.044264,             0.04013,           0.0077119,            0.009703,            0.009703,            0.009703
                  11,            0.058135,            0.057156,           0.0091211,             0.15179,             0.38803,             0.11458,            0.037047,            0.053311,            0.037311,           0.0086893,             0.00967,             0.00967,             0.00967
                  12,            0.056414,            0.061302,           0.0083428,             0.19354,             0.45124,             0.15747,            0.061568,            0.042659,            0.040344,           0.0071643,            0.009637,            0.009637,            0.009637
                  13,            0.053207,            0.055547,           0.0078343,             0.17832,             0.46798,             0.15647,            0.064634,            0.044439,            0.037988,           0.0070446,            0.009604,            0.009604,            0.009604
                  14,            0.052064,             0.06489,           0.0082755,             0.21353,             0.45195,             0.15821,            0.058928,            0.042428,            0.038222,           0.0076652,            0.009571,            0.009571,            0.009571
                  15,            0.052902,            0.059395,           0.0072146,                0.21,             0.47801,             0.17155,            0.081158,            0.038597,            0.038384,           0.0066885,            0.009538,            0.009538,            0.009538
                  16,            0.052064,            0.060825,           0.0070613,             0.20203,             0.46382,             0.15901,            0.060052,              0.0419,            0.039554,           0.0064283,            0.009505,            0.009505,            0.009505
                  17,            0.050149,            0.058559,           0.0077045,             0.21303,             0.45751,             0.16042,            0.067909,            0.037556,            0.040069,           0.0061991,            0.009472,            0.009472,            0.009472
                  18,            0.048308,            0.059298,           0.0065734,              0.2148,             0.43452,              0.1678,             0.06304,            0.042179,            0.037844,           0.0064857,            0.009439,            0.009439,            0.009439
                  19,            0.047403,            0.059957,           0.0070564,             0.21297,             0.46416,             0.17262,            0.071215,            0.038975,            0.039306,              0.0067,            0.009406,            0.009406,            0.009406
                  20,             0.04788,            0.059463,           0.0071816,              0.2243,             0.45542,             0.17847,            0.088795,            0.036211,            0.040451,           0.0065186,            0.009373,            0.009373,            0.009373
                  21,            0.047648,            0.059105,           0.0064047,             0.20178,             0.49029,             0.17455,            0.082343,            0.038443,            0.038987,           0.0059016,             0.00934,             0.00934,             0.00934
                  22,            0.047179,            0.057459,           0.0070317,              0.2198,              0.4698,             0.18263,            0.080786,            0.038679,            0.040274,           0.0058338,            0.009307,            0.009307,            0.009307
                  23,            0.047485,            0.057874,           0.0061113,             0.21752,             0.44345,              0.1744,            0.083749,            0.037297,            0.039181,           0.0059098,            0.009274,            0.009274,            0.009274
                  24,            0.046972,             0.06077,            0.006314,              0.2359,             0.44997,             0.17894,            0.080887,            0.037599,            0.038117,           0.0056503,            0.009241,            0.009241,            0.009241
                  25,            0.046948,            0.057954,           0.0055765,             0.23419,             0.46306,               0.179,            0.085919,            0.034587,            0.041585,           0.0060049,            0.009208,            0.009208,            0.009208
                  26,            0.045485,            0.061383,           0.0061074,             0.22577,             0.45709,             0.17622,            0.092719,            0.034352,            0.040727,           0.0055701,            0.009175,            0.009175,            0.009175
                  27,            0.045546,            0.062235,           0.0053915,             0.21934,             0.46951,             0.18809,            0.093143,            0.037394,            0.039776,           0.0051569,            0.009142,            0.009142,            0.009142
                  28,             0.04432,            0.058232,           0.0054854,             0.22989,             0.46707,             0.19293,            0.091207,            0.036182,            0.039053,           0.0051472,            0.009109,            0.009109,            0.009109
                  29,            0.045932,            0.060006,           0.0063658,             0.22481,             0.48514,             0.18434,            0.095011,            0.034582,            0.039482,           0.0053545,            0.009076,            0.009076,            0.009076
                  30,            0.045039,            0.058562,           0.0060333,             0.23428,             0.45836,             0.18799,            0.095709,            0.035235,            0.040358,           0.0051402,            0.009043,            0.009043,            0.009043
                  31,            0.044499,            0.058793,           0.0055107,             0.23415,             0.47632,             0.18782,            0.093497,            0.036437,            0.039847,           0.0054741,             0.00901,             0.00901,             0.00901
                  32,            0.044381,            0.060242,           0.0051548,             0.22192,             0.45938,             0.19165,            0.097987,             0.03556,            0.040401,           0.0055421,            0.008977,            0.008977,            0.008977
                  33,            0.043424,            0.058245,            0.005492,             0.23637,             0.46233,             0.19239,            0.099918,            0.034609,            0.042463,           0.0054307,            0.008944,            0.008944,            0.008944
                  34,            0.042499,             0.06065,           0.0050493,             0.23182,             0.51093,              0.1951,            0.093564,            0.035911,            0.041389,           0.0055077,            0.008911,            0.008911,            0.008911
                  35,            0.043815,            0.059816,           0.0051982,             0.21929,             0.48436,             0.18046,            0.090804,            0.035173,            0.040776,           0.0057391,            0.008878,            0.008878,            0.008878
                  36,            0.042552,            0.057835,           0.0049055,             0.23195,              0.5013,             0.19545,            0.094779,            0.035495,            0.039428,           0.0058068,            0.008845,            0.008845,            0.008845
                  37,            0.041898,            0.057236,           0.0046456,             0.23615,             0.48281,             0.18982,            0.099931,            0.032803,             0.03965,           0.0055762,            0.008812,            0.008812,            0.008812
                  38,            0.042773,             0.06121,           0.0051564,             0.22624,             0.48807,             0.18365,            0.077311,            0.036578,            0.039947,           0.0050558,            0.008779,            0.008779,            0.008779
                  39,            0.043199,            0.055705,           0.0052904,             0.23228,             0.47127,             0.19423,            0.094783,            0.035365,            0.040599,           0.0051997,            0.008746,            0.008746,            0.008746
                  40,            0.041572,            0.057927,           0.0050239,             0.24007,             0.48603,             0.19792,            0.091779,            0.036851,            0.039753,           0.0084248,            0.008713,            0.008713,            0.008713
                  41,            0.042301,            0.058636,           0.0049603,             0.23937,              0.4866,             0.19639,             0.10757,            0.032489,            0.039514,           0.0055444,             0.00868,             0.00868,             0.00868
                  42,            0.041346,            0.056686,           0.0049529,             0.22764,             0.48769,             0.18504,             0.08274,            0.035559,            0.039363,           0.0057699,            0.008647,            0.008647,            0.008647
                  43,            0.039721,            0.053869,           0.0055342,             0.24121,             0.52192,             0.20929,             0.11109,            0.032157,            0.040263,           0.0052405,            0.008614,            0.008614,            0.008614
                  44,            0.041716,            0.059539,           0.0049534,              0.2586,              0.4891,             0.20042,             0.10266,            0.032692,            0.039389,            0.005213,            0.008581,            0.008581,            0.008581
                  45,            0.040434,            0.055506,           0.0050012,             0.25709,             0.47155,             0.20864,            0.098891,            0.035673,             0.03915,           0.0064184,            0.008548,            0.008548,            0.008548
                  46,            0.041314,            0.060301,           0.0045601,             0.23623,             0.52369,             0.20191,             0.10758,            0.034044,              0.0417,           0.0050026,            0.008515,            0.008515,            0.008515
                  47,             0.03827,            0.056409,           0.0048276,             0.22985,             0.49283,             0.20163,             0.10718,            0.033664,            0.039041,           0.0053319,            0.008482,            0.008482,            0.008482
                  48,            0.039901,            0.060095,           0.0049366,             0.23053,             0.48942,             0.20899,             0.11555,            0.031992,            0.040931,           0.0049552,            0.008449,            0.008449,            0.008449
                  49,            0.039397,            0.055259,           0.0047354,              0.2251,             0.50076,             0.19807,             0.10447,            0.031796,            0.040052,           0.0047252,            0.008416,            0.008416,            0.008416
                  50,            0.039071,            0.058033,           0.0043616,             0.24757,             0.44029,             0.19877,             0.10639,             0.03305,            0.040045,           0.0050485,            0.008383,            0.008383,            0.008383
                  51,            0.039589,             0.05933,           0.0047327,             0.23928,             0.51093,             0.20352,             0.10513,             0.03147,            0.040066,           0.0047325,             0.00835,             0.00835,             0.00835
                  52,            0.040001,            0.058247,           0.0047983,             0.23374,             0.50697,             0.19453,             0.10564,            0.031143,            0.039792,           0.0050779,            0.008317,            0.008317,            0.008317
                  53,             0.03847,            0.054667,           0.0047215,             0.22676,             0.51129,             0.20224,            0.092322,            0.032299,            0.039483,           0.0047516,            0.008284,            0.008284,            0.008284
                  54,            0.039808,            0.060854,            0.004475,             0.25222,             0.48604,             0.21047,             0.10532,            0.032206,            0.039857,           0.0045369,            0.008251,            0.008251,            0.008251
                  55,             0.03903,            0.056166,           0.0043053,             0.23018,             0.45549,               0.204,             0.11255,            0.031214,            0.039861,            0.004718,            0.008218,            0.008218,            0.008218
                  56,            0.039573,            0.060254,           0.0040659,             0.24413,             0.50078,             0.21063,             0.10573,            0.032547,            0.040911,           0.0044884,            0.008185,            0.008185,            0.008185
                  57,            0.039948,             0.05934,           0.0042507,             0.23243,             0.45273,             0.19975,             0.11112,            0.031939,             0.03976,           0.0048835,            0.008152,            0.008152,            0.008152
                  58,            0.038379,            0.060136,           0.0042625,             0.23008,             0.47987,             0.20578,             0.11257,             0.03088,            0.040929,           0.0047275,            0.008119,            0.008119,            0.008119
                  59,            0.037762,            0.058348,           0.0043557,             0.25306,             0.45945,             0.20917,             0.10899,            0.031525,            0.040871,           0.0043363,            0.008086,            0.008086,            0.008086
                  60,            0.037616,            0.055384,           0.0040702,             0.24297,             0.46385,             0.19898,             0.11255,             0.03073,            0.040474,           0.0046284,            0.008053,            0.008053,            0.008053
                  61,             0.03787,            0.055991,           0.0040672,             0.22866,             0.47733,             0.19448,            0.095514,            0.032451,            0.042332,            0.004851,             0.00802,             0.00802,             0.00802
                  62,            0.038195,            0.054814,           0.0042108,             0.23094,             0.51228,             0.20359,              0.1105,            0.031298,            0.040659,            0.004679,            0.007987,            0.007987,            0.007987
                  63,            0.037188,            0.058189,           0.0042367,             0.24246,             0.47924,             0.20172,             0.11015,            0.031018,            0.042269,           0.0047581,            0.007954,            0.007954,            0.007954
                  64,            0.038528,            0.058656,           0.0040798,             0.22168,             0.49179,             0.19254,            0.099915,            0.031392,            0.040379,           0.0047262,            0.007921,            0.007921,            0.007921
                  65,            0.037493,            0.055963,           0.0040804,             0.23211,             0.49325,             0.19647,             0.11002,            0.031521,            0.040592,           0.0048495,            0.007888,            0.007888,            0.007888
                  66,            0.036438,            0.056263,           0.0041616,             0.24565,             0.49641,             0.19869,             0.10532,            0.031082,            0.041496,           0.0051354,            0.007855,            0.007855,            0.007855
                  67,            0.037583,            0.058071,           0.0040112,             0.23795,             0.48824,             0.19827,             0.10783,            0.030677,            0.043003,           0.0044673,            0.007822,            0.007822,            0.007822
                  68,            0.038103,            0.058409,           0.0041139,              0.2383,              0.5152,              0.1991,             0.11416,            0.029231,            0.042314,           0.0045309,            0.007789,            0.007789,            0.007789
                  69,              0.0366,            0.056022,           0.0038876,             0.23037,             0.46913,             0.20033,             0.10301,            0.029624,             0.04192,           0.0046162,            0.007756,            0.007756,            0.007756
                  70,            0.036203,            0.056647,           0.0037981,             0.23298,             0.48804,             0.19813,             0.11147,            0.028701,            0.041319,           0.0043999,            0.007723,            0.007723,            0.007723
                  71,            0.037141,            0.058685,            0.004135,             0.23255,             0.46336,             0.19049,             0.10129,             0.03049,              0.0407,           0.0045947,             0.00769,             0.00769,             0.00769
                  72,            0.036849,            0.057286,           0.0040957,             0.23685,             0.46544,             0.18625,             0.10529,            0.029486,             0.04268,           0.0057717,            0.007657,            0.007657,            0.007657
                  73,            0.036313,              0.0559,           0.0037486,             0.23419,             0.48811,             0.18966,            0.094817,            0.032243,            0.041178,           0.0046125,            0.007624,            0.007624,            0.007624
                  74,            0.037581,            0.057337,           0.0040916,             0.23204,             0.47009,             0.19519,             0.11139,            0.029627,            0.039915,           0.0047637,            0.007591,            0.007591,            0.007591
                  75,            0.037628,            0.059465,           0.0039226,             0.22698,             0.51241,             0.20301,             0.11157,            0.030025,            0.044952,           0.0048329,            0.007558,            0.007558,            0.007558
                  76,            0.035267,             0.05624,           0.0039448,             0.23741,             0.50642,             0.20014,             0.10453,            0.030095,            0.041046,           0.0052192,            0.007525,            0.007525,            0.007525
                  77,            0.036199,            0.056048,           0.0034734,             0.23441,             0.46845,             0.19372,             0.10058,            0.031341,            0.040632,           0.0049815,            0.007492,            0.007492,            0.007492
                  78,            0.035368,            0.057088,           0.0038413,             0.22694,             0.48899,             0.19537,             0.11455,            0.029227,            0.044733,           0.0047527,            0.007459,            0.007459,            0.007459
                  79,            0.036376,            0.057172,           0.0038136,               0.237,             0.44436,             0.20096,             0.10459,            0.030512,            0.041543,           0.0045304,            0.007426,            0.007426,            0.007426
                  80,            0.034149,            0.056314,           0.0038746,             0.23056,             0.47168,             0.19495,              0.1114,            0.029679,            0.044215,           0.0045249,            0.007393,            0.007393,            0.007393
                  81,            0.035414,            0.054375,           0.0036659,             0.22627,             0.48469,             0.18867,            0.097724,            0.030852,            0.041424,           0.0050178,             0.00736,             0.00736,             0.00736
                  82,            0.035243,            0.057721,           0.0035491,             0.23103,             0.52173,             0.19802,             0.10031,            0.031163,            0.041442,           0.0045536,            0.007327,            0.007327,            0.007327
                  83,            0.036786,             0.05455,           0.0038095,             0.24654,             0.46909,             0.18792,             0.10887,            0.029402,               0.042,           0.0047858,            0.007294,            0.007294,            0.007294
                  84,            0.035578,            0.058555,           0.0037394,             0.22946,             0.49239,             0.19168,             0.10243,            0.030233,             0.04294,           0.0051699,            0.007261,            0.007261,            0.007261
                  85,            0.035455,            0.059645,           0.0036775,             0.22769,             0.51392,             0.19418,             0.11114,            0.028898,             0.04225,           0.0046236,            0.007228,            0.007228,            0.007228
                  86,            0.035435,            0.059072,           0.0038443,             0.23674,             0.52834,             0.20068,             0.11429,            0.028455,            0.043658,           0.0042683,            0.007195,            0.007195,            0.007195
                  87,             0.03441,            0.055699,           0.0039158,             0.22466,             0.50248,             0.20511,             0.10746,            0.030081,             0.04401,           0.0045868,            0.007162,            0.007162,            0.007162
                  88,            0.036824,            0.055436,           0.0041949,             0.23689,             0.46747,             0.19841,             0.11398,            0.029771,             0.04126,           0.0047447,            0.007129,            0.007129,            0.007129
                  89,            0.035737,            0.056166,           0.0039789,             0.23963,             0.46707,             0.19953,             0.10428,            0.029137,            0.043832,           0.0049351,            0.007096,            0.007096,            0.007096
                  90,            0.035158,            0.055615,           0.0037064,             0.22077,             0.49016,             0.19412,             0.11102,            0.029302,            0.041884,           0.0048049,            0.007063,            0.007063,            0.007063
                  91,            0.035081,            0.054708,           0.0038576,             0.24305,             0.50249,             0.20679,              0.1155,            0.028027,            0.042849,           0.0045637,             0.00703,             0.00703,             0.00703
                  92,            0.034735,             0.05456,           0.0035292,              0.2379,             0.50288,             0.20069,             0.10614,            0.029434,            0.041806,           0.0043695,            0.006997,            0.006997,            0.006997
                  93,            0.034475,            0.058199,           0.0036185,             0.22859,             0.51818,             0.20672,             0.11987,            0.029303,            0.043539,           0.0046768,            0.006964,            0.006964,            0.006964
                  94,            0.034288,            0.057303,           0.0033507,             0.23864,             0.47439,             0.20077,             0.11241,            0.028994,            0.042418,           0.0046976,            0.006931,            0.006931,            0.006931
                  95,            0.034583,            0.056395,           0.0034143,             0.23334,             0.48253,             0.19351,             0.11286,            0.028521,            0.043447,           0.0048409,            0.006898,            0.006898,            0.006898
                  96,            0.033378,            0.055033,           0.0033215,             0.22362,             0.51621,             0.19301,             0.10673,            0.029358,            0.043377,           0.0044642,            0.006865,            0.006865,            0.006865
                  97,            0.032337,            0.055084,           0.0034245,             0.22915,             0.47967,             0.19474,             0.11249,            0.028163,            0.044717,           0.0045108,            0.006832,            0.006832,            0.006832
                  98,            0.032874,            0.052845,            0.003724,             0.25771,             0.43125,             0.19478,            0.099398,            0.029808,             0.04303,           0.0043353,            0.006799,            0.006799,            0.006799
                  99,            0.034908,            0.054277,           0.0035152,             0.23046,             0.47559,             0.19394,             0.10809,            0.027994,            0.043564,           0.0047022,            0.006766,            0.006766,            0.006766
                 100,            0.034714,            0.051561,           0.0039667,             0.23764,             0.50019,             0.20329,              0.1098,            0.029193,            0.042283,           0.0045161,            0.006733,            0.006733,            0.006733
                 101,            0.033733,            0.056727,           0.0037525,             0.23236,             0.49873,             0.20287,             0.10825,            0.029199,            0.044199,           0.0044531,              0.0067,              0.0067,              0.0067
                 102,              0.0339,              0.0562,           0.0032978,             0.23842,             0.51072,              0.2069,              0.1177,             0.02843,            0.043602,           0.0044482,            0.006667,            0.006667,            0.006667
                 103,            0.033104,            0.052667,           0.0032203,             0.23518,             0.50375,             0.19405,              0.1049,            0.028943,            0.042603,           0.0042574,            0.006634,            0.006634,            0.006634
                 104,            0.033248,            0.051745,           0.0035239,             0.23261,             0.47746,             0.20306,             0.11666,            0.030262,             0.04354,           0.0048271,            0.006601,            0.006601,            0.006601
                 105,              0.0337,            0.053531,            0.003663,             0.22508,             0.47314,             0.18961,             0.10812,            0.029215,            0.042743,           0.0041231,            0.006568,            0.006568,            0.006568
                 106,            0.032942,            0.054282,           0.0034657,             0.24806,             0.44465,             0.19582,             0.11445,            0.029774,            0.045473,           0.0043811,            0.006535,            0.006535,            0.006535
                 107,            0.033003,            0.053982,           0.0031888,             0.24507,             0.48491,             0.21401,             0.12218,            0.029054,            0.043617,           0.0043679,            0.006502,            0.006502,            0.006502
                 108,            0.031935,            0.052155,           0.0032973,             0.24458,             0.45751,             0.19078,             0.10841,            0.028391,            0.043339,           0.0042801,            0.006469,            0.006469,            0.006469
